City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
343,Pathein,MM,80.2,16.7833,94.7333,Pathein Hotel
346,Rangapara,IN,81.61,26.8167,92.65,Bidhan
348,Odweyne,SO,81.46,9.4092,45.064,Eng Hiirey House
350,Jingdezhen,CN,78.28,29.2947,117.2079,Garden Hotel
357,Digha,IN,83.64,21.6833,87.55,Khoniker Atithi
362,Presidente Olegario,BR,78.48,-18.4178,-46.4181,Cruzeiro Hotel
364,Baudh,IN,79.74,20.8416,84.3213,Hotel Parijat Palace
367,Yaan,NG,82.27,7.3833,8.5667,
382,Leavenworth,US,80.94,39.2333,-95.0336,Suncatcher Lake RV Park
385,Dawei,MM,78.71,14.0833,98.2,Hotel Dawei
394,Port-Gentil,GA,82.36,-0.7193,8.7815,Fengshui Residence
395,Port Blair,IN,81.99,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
401,Clearwater,US,86.95,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
403,Champerico,GT,82.94,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
406,Carnot,CF,82.04,4.9409,15.8665,
413,Fukue,JP,79.57,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
414,Salisbury,GB,86.56,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
416,Lorengau,PG,80.64,-2.0226,147.2712,Lorengau Harbourside Hotel
417,Mitsamiouli,KM,80.89,-11.3847,43.2844,Foyer ADM
422,Nishihara,JP,82.06,26.1842,127.7558,Minshuku Agaihama
425,Pemangkat,ID,80.53,1.1667,108.9667,Ramah Kost KITA
427,Ilhabela,BR,82.72,-23.7781,-45.3581,Ilha Flat Hotel
432,Mahajanga,MG,84.22,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
435,Evans,US,86.27,33.5337,-82.1307,Evans hide out
437,Curvelo,BR,81.12,-18.7564,-44.4308,Pontal Plaza Hotel
438,Arcos,BR,78.26,-20.2819,-45.5394,Victor Plaza Hotel Arcos
439,Isabela,PH,78.85,6.7085,121.9711,Isawad Resort
442,Touros,BR,82.4,-5.1989,-35.4608,INN NEW HORIZON
448,Fort-Shevchenko,KZ,83.43,44.5086,50.263,Oasis hotel Bautino
451,Natal,BR,83.05,-5.795,-35.2094,Villa Park Hotel | Natal
456,Anloga,GH,78.17,5.7947,0.8973,Pin Drop Hotel
457,San Patricio,US,86.9,28.017,-97.5169,"Motel 6 Sinton, TX"
458,Ciudad Bolivar,VE,84.13,8.1222,-63.5497,Hotel Edi
459,Roanoke Rapids,US,80.55,36.4615,-77.6542,Hampton Inn Roanoke Rapids
461,Sal Rei,CV,80.8,16.1833,-22.9167,Marine Club Beach Resort
466,La Brea,HN,85.51,15.8,-85.9667,Hotel reynita
468,Namatanai,PG,79.47,-3.6667,152.4333,Seagulls Inn Namatani
471,Avera,US,83.55,33.194,-82.5271,
474,Kavieng,PG,82.6,-2.5744,150.7967,Nusa Island Retreat
477,Matara,LK,79.65,5.9485,80.5353,Amaloh Boutique Resort
478,El Campo,US,84.49,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
482,Brenham,US,86.83,30.1669,-96.3977,Hampton Inn & Suites Brenham
491,Tambopata,PE,80.49,-12.7333,-69.1833,Enashawa Lodge
493,Kattivakkam,IN,86.09,13.2167,80.3167,Euronova Freezer
497,Axim,GH,78.48,4.8699,-2.2405,Axim Beach Resort And Spa
499,Dakar,SN,86.88,14.6937,-17.4441,Novotel Dakar
500,Meadow Lake,US,84.61,34.8014,-106.5436,TumbleWeed RV Park
501,Elizabeth City,US,84.99,36.2946,-76.2511,Hampton Inn Elizabeth City
504,Erzin,TR,86.23,36.9559,36.2,Artemis Otel
506,Pakxan,LA,78.35,18.3778,103.6601,Kong Kham Pheng Guesthouse
510,Conde,BR,78.26,-7.2597,-34.9075,Pousada Beija Flor
511,Vadamadurai,IN,79.11,10.4667,78.0833,
513,Iztapa,GT,82.45,13.9333,-90.7075,Villas de Puerto Viejo
517,Tateyama,JP,79.11,34.9833,139.8667,Tateyama Seaside Hotel
520,Nahan,IN,84.74,30.55,77.3,Hotel Heritage Sanyam & Restaurant Ekant
527,Port Elizabeth,ZA,84.31,-33.918,25.5701,39 On Nile Guest House
529,Locri,IT,86.13,38.2414,16.2623,Grand Hotel President
540,Liuzhou,CN,81.57,24.3126,109.3892,Linjiang Inn
